ISP,Country,ASN
"EmpresadeTelecomunicacionesdeCuba,S.A.",CU,"AS27725 Empresa de Telecomunicaciones de Cuba, S.A."
TelefonicadeEspana,ES,AS3352 TELEFONICA DE ESPANA
RCable,ES,"AS12334 R Cable y Telecable Telecomunicaciones, S.A.U."
DigiSpain,ES,AS8708 RCS & RDS SA
M247Ltd,GB,AS9009 M247 Ltd
VodafoneOno,ES,"AS6739 VODAFONE ONO, S.A."
VodafoneSpain,ES,AS12430 VODAFONE ESPANA S.A.U.
Yoigo,ES,AS15704 XTRA TELECOM S.A.
GoogleCloud,ES,AS396982 Google LLC
"ProredComunicaciones,S.L.",ES,"AS31577 Prored Comunicaciones, S.L."
NUoS,ZW,AS37568 National University of Science and Technology
CABS,ZW,AS37024 YoAfrica (Pvt) Ltd
ZOLZimbabwe,ZW,AS30969 Zimbabwe Online (Private) Ltd.
TELONE,,
LiquidIntelligentTechnologies,ZA,AS30844 Liquid Telecommunications Ltd
Hammer-and-Tongues,,
University-of-zimbabwe,,
NetOne-Cellular,ZW,AS328088 NetOne Cellular (Private) Limited
POWERTEL,ZW,AS37184 Powertel Communications
HTd.o.o.Mostar,BA,AS20875 HT d.o.o. Mostar
Elta-Mont,BA,AS198252 ELTA KABEL d.o.o.
DASTOsemteld.o.o.,BA,AS35567 DASTO semtel d.o.o.
Telemachd.o.o.Sarajevo,BA,AS42560 Telemach d.o.o. Sarajevo
Logosoft,BA,"AS16178 Logosoft , information engineering and Internet providing"
TXTVd.o.o.Tuzla,BA,AS202632 TXTV d.o.o. Tuzla
BHTelecomd.d.Sarajevo,BA,AS9146 BH Telecom d.d. Sarajevo
DSL-Elektronikad.o.o.,BA,AS57888 Telesat d.o.o.
ELTAKABELd.o.o.,,
MtelBosnia,BA,AS25144 Telekomunikacije Republike Srpske akcionarsko drustvo Banja Luka
Giga-Communication,LY,AS328539 Giga for Telecommunication and Technology Limited
Etisalat,EG,AS36992 ETISALAT MISR
SEVENNET,IQ,AS51018 Seven Net Layers for General Trading & Information Technology LTD.
